"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Tunisia","TUN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.12081384797485","1.84867111993556","1.64437277322391","2.84083745768777","1.54422296181013","1.60899757935321","1.63940867397611","1.65349770660457","2.05818003901407","2.7010161179644","3.42706872700311","3.31357375056929","3.70876227663929","3.80532237415122","5.02315152604415","4.51072019636945","6.680848185094","5.41679698211625","4.54378971576265","4.09791169577594","4.8942275031461","5.60284449741353","4.69130009186882","4.94142434839478","5.48779707668275","6.32742148072781","",
"Tunisia","TUN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51271541","47090367","48406351","81165259","53666156","69935756","72191999","71688241","97153681","124512446","154371221","176772350","207154873","246928621","377166200","354317345","572657326","573108916","628103934","446128793","611161593","732232913","569043143","616390976","706923421","681454561","",
"Tunisia","TUN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","480438459.519418","498892645.993455","665592056.144232","934895595.37447","990235522.926012","929518282.577307","926039574.099739","920787704.430662","831581206.195871","883167980.755163","874023309.38725","1159700119.16794","1767303143.19993","1328318051.94064","1574573055.02846","1307563010.06268","1887084008.59307","1952693671.18034","2173882598.14724","2401268834.25853","2527202527.20253","2518291901.83032","2504555533.60117","2650424666.48401","2571709974.3437","2727438595.27182","2487808309.10625","2710991818.38761","3368215394.49737","3756262364.15487","4019984598.33587","4619941078.15274","5648701109.85614","5075780859.45456","5297610730.75311","4286455065.29178","4754427056.93416","4576900784.26747","4555288850.92848","3124195501.17887","",
"Tunisia","TUN","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","10.6796116504855","7.94392523364488","10.1083032490974","10.5263157894737","8.22942643391492","7.84313725490195","6.03290676416813","7.35999999999956","8.20433436532512","7.32700135685214","9.22190201729107","7.70031217481829","5.87071240105526","10.7850911974621","10.7013738250181","11.3316790736144","9.70641102456564","8.97959183673491","6.63938153706205","9.81946279172156","9.9593495934962","11.0233393177738","6.41654978962102","6.61577608142477","9.58865248226942","10.2191641182468","11.6482895108848","12.0240480961924","11.7997616209773","10.0954139735303","9.84917861214453","10.7267137403288","11.8879310344827","15.8162744211156","18.4293815112752","20.7709134296701","19.4400678705611","21.3222340268158","19.6640546202188","23.6501590927634","",
"Tunisia","TUN","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","38.1420989205","42.7284770476","33.8652855055","31.6289325915","30.7134005111","29.7074433989","30.0773484441","36.5624813039","40.9336512739","50.0768356367","60.2904199038","63.2353016589","68.6984094425","64.0542550191","79.6100954676","93.5923010521","94.2999752143","95.0343153594","98.0754339632","100.3707597241","100","113.3475210037","117.5060468535","137.2067382888","165.5480628702","179.3731784655","199.8983102997","259.2308915156","330.2472073366","246.9190704512","280.788646445","305.068502517","290.7181183388","291.6244027931","286.4133911096","240.5579344119","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","11.5481171548117","4.44242973708069","3.45721694036301","5.98086124401914","8.46273291925466","7.17264386989158","7.38112136266856","6.95652173913043","9.96865203761756","10.4733658990463","14.6135856855387","12.0263061074319","6.98684337504423","9.20112781954887","6.75040772462657","10.1469591831967","4.63395440930091","5.19546546091772","7.8457327066112","5.51251090091903","4.09241278666362","7.79758981373619","5.48505272532232","5.81039927496665","6.53380822631192","6.40886403549311","9.31072753968346","6.50813575516857","7.30250961604362","10.7780680022581","10.8424284167023","9.85304562754346","9.80894978632302","9.17367091657368","7.65226742762219","8.37109771031799","7.19887355976465","6.97753619151256","6.31054046086371","5.74993012699667","7.52194716570734","8.28461325737366","9.25662414317212","7.98471196148705","6.89992246235312","8.72728519855012","9.2632949729216","9.01279678281619","10.2495596281876","12.6256313389792","10.4548954962589","9.52891660350855","10.3419220993382","10.2413068639052","10.4112513255181","","",
"Tunisia","TUN","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","119500000","110300000","115700000","125400000","128800000","119900000","140900000","149500000","159500000","171960000","183870000","217440000","310870000","425600000","925870000","856020000","787880000","924460000","1110540000","1788840000","2233890000","2463710000","1976280000","1776470000","2150660000","1731040000","1729940000","2135020000","2392876000","2936704425.447","3555264422.186","4085177728.533","4043885460.428","3804280649.902","4642213096.184","5783869741.769","5517989538.477","5762749177.343","5742181732.108","7266615832.783","5839935271.215","6605704899.346","6856682580.613","7749295724.736","9379137457.178","10094303211.98","11370026418.74","14791902998.51","18627809425.59","13969418939.85","15849246562.11","17161357199.62","16298168423.12","16335471068.28","15378034246.17","","",
"Tunisia","TUN","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","5.02092050209205","13.780598368087","5.53154710458081","11.5629984051037","12.9658385093168","10.0083402835696","15.6848828956707","13.9130434782609","11.41065830721","12.3458943940451","11.5842714961658","11.0651214128035","8.06124746678676","7.4765037593985","5.77510881657252","6.3830284339151","5.70010661522059","7.45948986435324","6.41939957137969","5.78251828000268","6.52315019987555","8.8451968778793","9.6307203432712","6.5269889162215","24.8291222229455","8.68726314816526","9.83444512526446","11.1895907298292","10.6518682957245","8.76167358955899","8.58079243825481","15.5200421100058","9.6059802721684","10.2101471383613","9.71523792283757","9.16685127922571","10.1382600013248","4.36969260086039","3.15425267163581","4.36991891900778","3.68712742916072","4.16996411131796","3.7831138720995","0.0101225034566276","0.0020909817016213","0.0622690223317316","0.00238598538042668","0.0003644032191481","0.0155733243223673","0.00704133590118798","0.00249845595781116","0.00230551393690702","0.00723238105286694","0.00257693804628528","0.00306818492172959","","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0.836820083682008","0","1.21002592912705","0","0","2.33527939949958","0","0","1.12852664576803","1.09909281228193","0.239299505085114","0.473693892568065","0.402097339724","0.897556390977444","0.452547333858965","0.877315950561903","3.19084124485962","2.94983017112693","0.863543861544834","1.48308400974933","0.269485068647069","0.0872667643513238","0.0166980387394499","0.494238574251184","0.100434285289167","0.453484610407616","1.03876435020868","0.773294863748349","1.00005182048715","1.21905356527499","1.82862397077617","1.42841253328762","0.908827930448362","0.501870491539099","0.535195970910579","0.700947277553665","0.698737744256249","1.10541215683936","0.878117726094491","0.881528086505532","0.788933135072479","0.900425171949761","1.10573224826257","1.02219228161626","0.990564329953681","1.31761673191617","1.49230262706727","1.55369578645459","1.75968593429508","2.22345425100434","2.41864596790251","2.61510675061432","2.46207162113854","2.50032667460385","2.82298428514893","","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","0.669456066945607","0.0906618313689937","0.950734658599827","0.0797448165869219","0.077639751552795","3.91993327773144","2.05819730305181","0.468227424749164","0.376175548589342","0.0290765294254478","0.0217545004622831","0.423105224429728","0.167272493325184","0.0916353383458647","0.0658839793923553","0.00233639400948576","0.156115144438239","0.588451636631114","1.42183082104202","1.18959772813667","1.32638581129778","1.50748261767822","1.25640091485012","1.14721892292017","1.77387406656561","2.49792032535354","1.92203197798768","1.17469625577278","4.07584847689558","3.09462536346902","1.34902308441914","2.10821328265215","2.15348704125816","1.45504207787577","1.94322646592233","2.04619232568164","2.49155830748723","3.00552981617112","2.91146388748004","2.43807696162119","2.20944483926198","1.48366781903371","1.59805028108657","0.919299305891916","1.15737204039401","1.73747917841967","1.27607696735395","1.37109109948212","4.08942989872075","1.93618167951089","2.69531337554843","1.52955739332733","1.74226786891702","1.4220196166633","2.03426781170365","","",
